Nombre Grace,Claves Clases,Link MisProfes,
JUAN CARLOS AGUILAR VILLEGAS,"MAT-14102, MAT-14400, MAT-24210",https://www.misprofesores.com/profesores/Juan-Carlos-Aguilar-Villegas_10711,
JULIETA MARIA SARRALDE VERA,"ADM-15750, ADM-15501",https://www.misprofesores.com/profesores/Julieta-Maria-Sarralde-Vera_10718,
JOSE MANUEL OROZCO GARIBAY,EGN-17161,https://www.misprofesores.com/profesores/Jose-Manuel-Orozco-Garibay_10824,
ARTURO RAMIREZ VERDUGO,ECO-15101,,
ALEXANDROS FAKOS,"ADM-12103, ADM-12108",,
FELIPE JAVIER MEDINA AGUAYO,EST-14103,,
RODRIGO CHACON AGUIRRE,"EIN-14302, EIN-14102",,
SANDRA PATRICIA MINABURO VILLAR,"CON-10002, CON-10106, CON-10111",,
ANA SOFIA CHARVEL OROZCO,DER-15504,,
SOFIA CORONA VERDUZCO,"ECO-12010, ECO-12102, ECO-11010, ECO-11101",,
EMILIO RUVALCABA ORNELAS,"DER-16501, DER-16502",,
FRANCISCO JAVIER BLANCO RIVERA,SDI-11120,,
JAVIER MARTINEZ VILLARROYA,"LEN-12715, LEN-12702, LEN-10132, LEN-14051",,
GINA AILEEN CASTILLO RIVERO,DER-11113-LAB,,
ERIC MAGAR MEURS,"CSO-10001, CSO-15024",,
JUAN JESUS GARZA ONOFRE,DER-11119,,
ARTURO MANUEL FERNANDEZ PEREZ,ECO-11001,,
CARLOS FERNANDO ESPONDA DARLINGTON,"COM-15126, COM-14113",,
CLAUDIA GABRIELA ORTIZ PEÑA,"CON-14101, CON-12110, CON-14109",,
EDUARDO PORTAS RUIZ,"LEN-12756, LEN-12764",,
MOISES EDUARDO RAMOS DE LA CAJIGA,"ADM-15610, ADM-15582",,
DENISE EUGENIA DRESSER GUERRA,"CSO-13041, CSO-10100, CSO-14021, CSO-14045",,
CLAUDIA EMILIA DE LEON PEREZ,"CON-10110, CON-10100",,
